country,country_iso3,year,type,station_count,capacity_gw
Afghanistan,AFG,2030,solar,1066,25.772273
Afghanistan,AFG,2030,wind,1085,27.023629
Afghanistan,AFG,2040,solar,1066,29.110628
Afghanistan,AFG,2040,wind,1085,29.714479
Afghanistan,AFG,2050,solar,1130,37.011069
Afghanistan,AFG,2050,wind,1085,41.575074
Albania,ALB,2030,solar,11,0.039888
Albania,ALB,2030,wind,96,0.343653
Albania,ALB,2040,solar,48,0.214569
Albania,ALB,2040,wind,96,0.376539
Albania,ALB,2050,solar,48,0.214569
Albania,ALB,2050,wind,96,0.539208
Algeria,DZA,2030,solar,2307,41.806982
Algeria,DZA,2030,wind,1743,20.741315
Algeria,DZA,2040,solar,2308,47.047922
Algeria,DZA,2040,wind,1743,23.45149
Algeria,DZA,2050,solar,2319,64.367821
Algeria,DZA,2050,wind,1887,34.514588
Angola,AGO,2030,solar,2589,35.267094
Angola,AGO,2030,wind,1187,14.830846
Angola,AGO,2040,solar,2592,38.71384
Angola,AGO,2040,wind,1187,16.943449
Angola,AGO,2050,solar,2744,51.021023
Angola,AGO,2050,wind,1258,24.714304
Argentina,ARG,2030,solar,10178,108.120315
Argentina,ARG,2030,wind,7609,72.832926
Argentina,ARG,2040,solar,10180,118.104855
Argentina,ARG,2040,wind,7688,83.408364
Argentina,ARG,2050,solar,10603,163.123099
Argentina,ARG,2050,wind,8105,111.898317
Armenia,ARM,2030,solar,18,0.100407
Armenia,ARM,2030,wind,141,0.472072
Armenia,ARM,2040,solar,18,0.112188
Armenia,ARM,2040,wind,141,0.500755
Armenia,ARM,2050,solar,18,0.151583
Armenia,ARM,2050,wind,141,0.722373
Australia,AUS,2030,solar,7901,123.155368
Australia,AUS,2030,wind,6130,96.565554
Australia,AUS,2040,solar,7911,135.466977
Australia,AUS,2040,wind,6133,104.908748
Australia,AUS,2050,solar,8026,177.790919
Australia,AUS,2050,wind,6598,143.617365
Austria,AUT,2030,solar,499,1.443492
Austria,AUT,2030,wind,331,3.032392
Austria,AUT,2040,solar,668,3.77673
Austria,AUT,2040,wind,331,3.172169
Austria,AUT,2050,solar,668,3.822537
Austria,AUT,2050,wind,331,4.271851
Azerbaijan,AZE,2030,solar,258,1.790131
Azerbaijan,AZE,2030,wind,657,5.563332
Azerbaijan,AZE,2040,solar,258,1.872688
Azerbaijan,AZE,2040,wind,657,6.420681
Azerbaijan,AZE,2050,solar,259,2.377656
Azerbaijan,AZE,2050,wind,657,8.723308
Bangladesh,BGD,2030,solar,301,1.460254
Bangladesh,BGD,2030,wind,733,29.508331
Bangladesh,BGD,2040,solar,305,1.613824
Bangladesh,BGD,2040,wind,733,30.912949
Bangladesh,BGD,2050,solar,320,1.75849
Bangladesh,BGD,2050,wind,804,39.126619
Belarus,BLR,2030,solar,956,2.955771
Belarus,BLR,2030,wind,1757,5.773886
Belarus,BLR,2040,solar,958,3.300578
Belarus,BLR,2040,wind,1757,6.440124
Belarus,BLR,2050,solar,959,3.714342
Belarus,BLR,2050,wind,1791,8.901225
Belgium,BEL,2030,solar,179,2.435513
Belgium,BEL,2030,wind,107,0.519059
Belgium,BEL,2040,solar,378,7.241312
Belgium,BEL,2040,wind,107,0.562682
Belgium,BEL,2050,solar,378,7.243611
Belgium,BEL,2050,wind,107,0.750274
Belize,BLZ,2030,solar,85,1.061365
Belize,BLZ,2030,wind,128,0.699297
Belize,BLZ,2040,solar,85,1.163432
Belize,BLZ,2040,wind,129,0.770683
Belize,BLZ,2050,solar,85,1.528674
Belize,BLZ,2050,wind,129,1.108695
Benin,BEN,2030,solar,684,5.954402
Benin,BEN,2030,wind,561,10.247755
Benin,BEN,2040,solar,685,6.450539
Benin,BEN,2040,wind,562,11.071994
Benin,BEN,2050,solar,685,9.184411
Benin,BEN,2050,wind,562,14.909051
Bhutan,BTN,2030,solar,17,0.00771
Bhutan,BTN,2030,wind,29,0.162591
Bhutan,BTN,2040,solar,17,0.008523
Bhutan,BTN,2040,wind,29,0.162995
Bhutan,BTN,2050,solar,17,0.011017
Bhutan,BTN,2050,wind,43,0.260294
Bolivia,BOL,2030,solar,1714,16.431373
Bolivia,BOL,2030,wind,532,4.782987
Bolivia,BOL,2040,solar,1715,18.642991
Bolivia,BOL,2040,wind,532,5.019917
