country,country_iso3,year,type,patch_id,station_count,capacity_gw
Afghanistan,AFG,2030,solar,R02C09,1054,25.064963
Afghanistan,AFG,2030,solar,R03C09,12,0.70731
Afghanistan,AFG,2030,wind,R02C09,1080,26.973658
Afghanistan,AFG,2030,wind,R03C09,5,0.049971
Afghanistan,AFG,2040,solar,R02C09,1054,28.373245
Afghanistan,AFG,2040,solar,R03C09,12,0.737383
Afghanistan,AFG,2040,wind,R02C09,1080,29.660461
Afghanistan,AFG,2040,wind,R03C09,5,0.054018
Afghanistan,AFG,2050,solar,R02C09,1118,36.216479
Afghanistan,AFG,2050,solar,R03C09,12,0.79459
Afghanistan,AFG,2050,wind,R02C09,1080,41.491599
Afghanistan,AFG,2050,wind,R03C09,5,0.083475
Albania,ALB,2030,solar,R02C07,11,0.039888
Albania,ALB,2030,wind,R02C07,96,0.343653
Albania,ALB,2040,solar,R02C07,48,0.214569
Albania,ALB,2040,wind,R02C07,96,0.376539
Albania,ALB,2050,solar,R02C07,48,0.214569
Albania,ALB,2050,wind,R02C07,96,0.539208
Algeria,DZA,2030,solar,R02C06,459,6.023297
Algeria,DZA,2030,solar,R02C07,1488,22.143751
Algeria,DZA,2030,solar,R03C06,49,2.993549
Algeria,DZA,2030,solar,R03C07,311,10.646385
Algeria,DZA,2030,wind,R02C06,264,2.584353
Algeria,DZA,2030,wind,R02C07,1300,14.826123
Algeria,DZA,2030,wind,R03C07,179,3.330839
Algeria,DZA,2040,solar,R02C06,460,6.8733
Algeria,DZA,2040,solar,R02C07,1488,24.528272
Algeria,DZA,2040,solar,R03C06,49,3.220718
Algeria,DZA,2040,solar,R03C07,311,12.425632
Algeria,DZA,2040,wind,R02C06,264,2.920401
Algeria,DZA,2040,wind,R02C07,1300,16.584849
Algeria,DZA,2040,wind,R03C07,179,3.94624
Algeria,DZA,2050,solar,R02C06,465,9.703506
Algeria,DZA,2050,solar,R02C07,1488,33.501155
Algeria,DZA,2050,solar,R03C06,55,4.900641
Algeria,DZA,2050,solar,R03C07,311,16.262519
Algeria,DZA,2050,wind,R02C06,334,5.278974
Algeria,DZA,2050,wind,R02C07,1300,23.456243
Algeria,DZA,2050,wind,R03C06,35,0.126894
Algeria,DZA,2050,wind,R03C07,218,5.652477
Angola,AGO,2030,solar,R04C07,2589,35.267094
Angola,AGO,2030,wind,R04C07,1187,14.830846
Angola,AGO,2040,solar,R04C07,2592,38.71384
Angola,AGO,2040,wind,R04C07,1187,16.943449
Angola,AGO,2050,solar,R04C07,2744,51.021023
Angola,AGO,2050,wind,R04C07,1258,24.714304
Argentina,ARG,2030,solar,R04C04,2321,25.891806
Argentina,ARG,2030,solar,R04C05,776,8.468137
Argentina,ARG,2030,solar,R05C04,6057,65.989116
Argentina,ARG,2030,solar,R05C05,1024,7.771256
Argentina,ARG,2030,wind,R04C04,1293,12.140147
Argentina,ARG,2030,wind,R04C05,726,5.900822
Argentina,ARG,2030,wind,R05C04,4531,50.426388
Argentina,ARG,2030,wind,R05C05,1059,4.365569
Argentina,ARG,2040,solar,R04C04,2321,28.180255
Argentina,ARG,2040,solar,R04C05,776,9.171088
Argentina,ARG,2040,solar,R05C04,6059,72.106962
Argentina,ARG,2040,solar,R05C05,1024,8.64655
Argentina,ARG,2040,wind,R04C04,1371,13.579731
Argentina,ARG,2040,wind,R04C05,726,6.81384
Argentina,ARG,2040,wind,R05C04,4532,58.275493
Argentina,ARG,2040,wind,R05C05,1059,4.7393
Argentina,ARG,2050,solar,R04C04,2444,39.262547
Argentina,ARG,2050,solar,R04C05,778,12.808462
Argentina,ARG,2050,solar,R05C04,6256,98.763864
Argentina,ARG,2050,solar,R05C05,1125,12.288226
Argentina,ARG,2050,wind,R04C04,1523,18.983474
Argentina,ARG,2050,wind,R04C05,831,8.818731
Argentina,ARG,2050,wind,R05C04,4692,77.571699
Argentina,ARG,2050,wind,R05C05,1059,6.524413
Armenia,ARM,2030,solar,R02C08,18,0.100407
Armenia,ARM,2030,wind,R02C08,141,0.472072
Armenia,ARM,2040,solar,R02C08,18,0.112188
Armenia,ARM,2040,wind,R02C08,141,0.500755
Armenia,ARM,2050,solar,R02C08,18,0.151583
Armenia,ARM,2050,wind,R02C08,141,0.722373
Australia,AUS,2030,solar,R04C10,643,7.393604
Australia,AUS,2030,solar,R04C11,2182,46.666363
Australia,AUS,2030,solar,R04C12,903,8.043159
Australia,AUS,2030,solar,R05C10,472,5.771434
Australia,AUS,2030,solar,R05C11,3284,49.617458
Australia,AUS,2030,solar,R05C12,417,5.66335
Australia,AUS,2030,wind,R04C10,265,3.54729
Australia,AUS,2030,wind,R04C11,1449,39.820916
