country,country_en,country_iso3,patch_id,geometry_intersects,station_observed_ssp126,station_count_ssp126,capacity_gw_ssp126,station_observed_ssp245,station_count_ssp245,capacity_gw_ssp245,station_observed_ssp585,station_count_ssp585,capacity_gw_ssp585
Afghanistan,Afghanistan,AFG,R02C09,True,True,16538,551.127944,True,16538,551.127944,True,16538,551.127944
Afghanistan,Afghanistan,AFG,R03C09,True,True,108,5.48997,True,108,5.48997,True,108,5.48997
Albania,Albania,ALB,R02C07,True,True,897,10.072573,True,897,10.072573,True,897,10.072573
Algeria,Algeria,DZA,R02C06,True,True,6007,100.259181,True,6007,100.259181,True,6007,100.259181
Algeria,Algeria,DZA,R02C07,True,True,19935,438.237393,True,19935,438.237393,True,19935,438.237393
Algeria,Algeria,DZA,R03C06,True,True,613,28.369274,True,613,28.369274,True,613,28.369274
Algeria,Algeria,DZA,R03C07,True,True,4563,186.201214,True,4563,186.201214,True,4563,186.201214
Angola,Angola,AGO,R04C07,True,True,28225,583.131906,True,28225,583.131906,True,28225,583.131906
Argentina,Argentina,ARG,R04C04,True,True,29027,460.390097,True,29027,460.390097,True,29027,460.390097
Argentina,Argentina,ARG,R04C05,True,True,12240,135.967282,True,12240,135.967282,True,12240,135.967282
Argentina,Argentina,ARG,R05C04,True,True,77119,1265.817058,True,77119,1265.817058,True,77119,1265.817058
Argentina,Argentina,ARG,R05C05,True,True,16970,219.530733,True,16970,219.530733,True,16970,219.530733
Armenia,Armenia,ARM,R02C08,True,True,1700,11.703008,True,1700,11.703008,True,1700,11.703008
Australia,Australia,AUS,R04C10,True,True,6995,202.513027,True,6995,202.513027,True,6995,202.513027
Australia,Australia,AUS,R04C11,True,True,30455,951.220719,True,30455,951.220719,True,30455,951.220719
Australia,Australia,AUS,R04C12,True,True,14327,311.93359,True,14327,311.93359,True,14327,311.93359
Australia,Australia,AUS,R05C10,True,True,8255,152.594943,True,8255,152.594943,True,8255,152.594943
Australia,Australia,AUS,R05C11,True,True,48701,960.040282,True,48701,960.040282,True,48701,960.040282
Australia,Australia,AUS,R05C12,True,True,5048,80.815174,True,5048,80.815174,True,5048,80.815174
Austria,Austria,AUT,R02C07,True,True,8145,54.222139,True,8145,54.222139,True,8145,54.222139
Azerbaijan,Azerbaijan,AZE,R02C08,True,True,6152,53.89388,True,6152,53.89388,True,6152,53.89388
Bahamas,The Bahamas,BHS,R03C04,True,False,0,0,False,0,0,False,0,0
Bangladesh,Bangladesh,BGD,R03C09,True,True,3868,58.210061,True,3868,58.210061,True,3868,58.210061
Bangladesh,Bangladesh,BGD,R03C10,True,True,3767,84.050517,True,3767,84.050517,True,3767,84.050517
Belarus,Belarus,BLR,R02C07,True,True,14827,108.707022,True,14827,108.707022,True,14827,108.707022
Belarus,Belarus,BLR,R02C08,True,True,4082,24.426637,True,4082,24.426637,True,4082,24.426637
Belgium,Belgium,BEL,R02C07,True,True,3577,71.690092,True,3577,71.690092,True,3577,71.690092
Belize,Belize,BLZ,R03C04,True,True,1516,22.391178,True,1516,22.391178,True,1516,22.391178
Benin,Benin,BEN,R03C07,True,True,8965,125.763021,True,8965,125.763021,True,8965,125.763021
Bhutan,Bhutan,BTN,R03C09,True,True,114,0.148442,True,114,0.148442,False,114,0.148442
Bhutan,Bhutan,BTN,R03C10,True,True,297,1.017805,True,297,1.017805,True,297,1.017805
Bolivia,Bolivia,BOL,R04C04,True,True,15650,250.257437,True,15650,250.257437,True,15650,250.257437
Bolivia,Bolivia,BOL,R04C05,True,True,921,18.972304,True,921,18.972304,True,921,18.972304
Bosnia and Herz.,Bosnia and Herzegovina,BIH,R02C07,True,True,3526,30.858357,True,3526,30.858357,True,3526,30.858357
Botswana,Botswana,BWA,R04C07,True,True,19767,414.303698,True,19767,414.303698,True,19767,414.303698
Brazil,Brazil,BRA,R03C04,True,True,3179,91.342174,True,3179,91.342174,True,3179,91.342174
Brazil,Brazil,BRA,R03C05,True,True,1696,42.095277,True,1696,42.095277,True,1696,42.095277
Brazil,Brazil,BRA,R04C04,True,True,7105,110.164654,True,7105,110.164654,True,7105,110.164654
Brazil,Brazil,BRA,R04C05,True,True,307327,4975.408778,True,307327,4975.408778,True,307327,4975.408778
Brazil,Brazil,BRA,R05C05,True,True,6407,83.599677,True,6407,83.599677,True,6407,83.599677
Brunei,Brunei,BRN,R03C10,True,True,187,1.08009,False,187,1.08009,True,187,1.08009
Bulgaria,Bulgaria,BGR,R02C07,True,True,6262,61.344138,True,6262,61.344138,True,6262,61.344138
Burkina Faso,Burkina Faso,BFA,R03C06,True,True,12779,200.287027,True,12779,200.287027,True,12779,200.287027
Burkina Faso,Burkina Faso,BFA,R03C07,True,True,1372,19.22522,True,1372,19.22522,True,1372,19.22522
Burundi,Burundi,BDI,R04C07,True,True,497,2.898556,True,497,2.898556,False,497,2.898556
Burundi,Burundi,BDI,R04C08,True,True,1180,29.980208,True,1180,29.980208,True,1180,29.980208
Cambodia,Cambodia,KHM,R03C10,True,True,11559,204.781153,True,11559,204.781153,True,11559,204.781153
Cameroon,Cameroon,CMR,R03C07,True,True,11470,129.490581,True,11470,129.490581,True,11470,129.490581
Canada,Canada,CAN,R01C02,True,True,8,0.047142,False,8,0.047142,False,8,0.047142
Canada,Canada,CAN,R01C03,True,False,0,0,False,0,0,False,0,0
Canada,Canada,CAN,R01C04,True,False,0,0,False,0,0,False,0,0
Canada,Canada,CAN,R02C02,True,True,2602,20.475665,True,2602,20.475665,True,2602,20.475665
Canada,Canada,CAN,R02C03,True,True,63835,717.537226,True,63835,717.537226,True,63835,717.537226
Canada,Canada,CAN,R02C04,True,True,23769,196.269443,True,23769,196.269443,True,23769,196.269443
Canada,Canada,CAN,R02C05,True,True,1865,38.587277,True,1865,38.587277,True,1865,38.587277
Central African Rep.,Central African Republic,CAF,R03C07,True,True,1564,20.051205,True,1564,20.051205,True,1564,20.051205
Chad,Chad,TCD,R03C07,True,True,9258,175.237264,True,9258,175.237264,True,9258,175.237264
Chile,Chile,CHL,R04C04,True,True,7969,142.488015,True,7969,142.488015,True,7969,142.488015
Chile,Chile,CHL,R05C04,True,True,10175,109.081448,True,10175,109.081448,True,10175,109.081448
China,People's Republic of China,CHN,R02C09,True,True,36778,1462.574202,True,36778,1462.574202,True,36778,1462.574202
China,People's Republic of China,CHN,R02C10,True,True,170932,4723.216881,True,170932,4723.216881,True,170932,4723.216881
China,People's Republic of China,CHN,R02C11,True,True,63668,1157.014159,True,63668,1157.014159,True,63668,1157.014159
China,People's Republic of China,CHN,R03C09,True,True,256,7.085457,False,256,7.085457,True,256,7.085457
China,People's Republic of China,CHN,R03C10,True,True,63423,751.022799,True,63423,751.022799,True,63423,751.022799
China,People's Republic of China,CHN,R03C11,True,True,3045,84.527447,True,3045,84.527447,True,3045,84.527447
Colombia,Colombia,COL,R03C04,True,True,28591,497.340377,True,28591,497.340377,True,28591,497.340377
Colombia,Colombia,COL,R04C04,True,False,0,0,False,0,0,False,0,0
Congo,Republic of the Congo,COG,R03C07,True,True,933,10.94342,True,933,10.94342,True,933,10.94342
Congo,Republic of the Congo,COG,R04C07,True,True,5866,67.298981,True,5866,67.298981,True,5866,67.298981
Costa Rica,Costa Rica,CRI,R03C04,True,True,1303,17.373696,True,1303,17.373696,False,1303,17.373696
Croatia,Croatia,HRV,R02C07,True,True,4846,52.351709,True,4846,52.351709,True,4846,52.351709
Cuba,Cuba,CUB,R03C04,True,True,7099,167.971582,True,7099,167.971582,True,7099,167.971582
Cyprus,Cyprus,CYP,R02C08,True,False,43,0.778329,True,43,0.778329,True,43,0.778329
Czechia,Czech Republic,CZE,R02C07,True,True,7853,83.327067,True,7853,83.327067,True,7853,83.327067
Côte d'Ivoire,Ivory Coast,CIV,R03C06,True,True,20720,327.124826,True,20720,327.124826,True,20720,327.124826
Dem. Rep. Congo,Democratic Republic of the Congo,COD,R03C07,True,True,1986,25.188499,True,1986,25.188499,True,1986,25.188499
Dem. Rep. Congo,Democratic Republic of the Congo,COD,R03C08,True,True,1229,40.27498,True,1229,40.27498,True,1229,40.27498
Dem. Rep. Congo,Democratic Republic of the Congo,COD,R04C07,True,True,28442,330.534288,True,28442,330.534288,True,28442,330.534288
Dem. Rep. Congo,Democratic Republic of the Congo,COD,R04C08,True,True,12,0.134573,True,12,0.134573,True,12,0.134573
Denmark,Denmark,DNK,R02C07,True,True,3581,51.228943,True,3581,51.228943,True,3581,51.228943
Djibouti,Djibouti,DJI,R03C08,True,True,1091,19.538615,True,1091,19.538615,True,1091,19.538615
Dominican Rep.,Dominican Republic,DOM,R03C04,True,True,3055,52.410292,True,3055,52.410292,True,3055,52.410292
Ecuador,Ecuador,ECU,R03C04,True,True,882,9.062652,True,882,9.062652,True,882,9.062652
Ecuador,Ecuador,ECU,R04C04,True,True,4924,73.263398,True,4924,73.263398,True,4924,73.263398
Egypt,Egypt,EGY,R02C07,True,True,3004,76.970681,True,3004,76.970681,True,3004,76.970681
Egypt,Egypt,EGY,R02C08,True,True,4804,57.352906,True,4804,57.352906,True,4804,57.352906
Egypt,Egypt,EGY,R03C07,True,True,2610,64.642927,True,2610,64.642927,True,2610,64.642927
Egypt,Egypt,EGY,R03C08,True,True,10325,286.349458,True,10325,286.349458,True,10325,286.349458
El Salvador,El Salvador,SLV,R03C03,True,False,0,0,False,0,0,False,0,0
El Salvador,El Salvador,SLV,R03C04,True,True,1426,17.131219,True,1426,17.131219,True,1426,17.131219
Eq. Guinea,Equatorial Guinea,GNQ,R03C07,True,True,779,8.333546,True,779,8.333546,True,779,8.333546
Eritrea,Eritrea,ERI,R03C08,True,True,2051,50.069328,True,2051,50.069328,True,2051,50.069328
Estonia,Estonia,EST,R02C07,True,True,3775,23.345814,True,3775,23.345814,True,3775,23.345814
Ethiopia,Ethiopia,ETH,R03C08,True,True,34908,634.93335,True,34908,634.93335,True,34908,634.93335
Falkland Is.,Falkland Islands,FLK,R05C04,True,False,0,0,False,0,0,False,0,0
Falkland Is.,Falkland Islands,FLK,R05C05,True,False,0,0,False,0,0,False,0,0
Fiji,Fiji,FJI,R04C12,True,False,0,0,False,0,0,False,0,0
Finland,Finland,FIN,R01C07,True,False,300,0.461557,True,300,0.461557,False,300,0.461557
Finland,Finland,FIN,R01C08,True,False,0,0,False,0,0,False,0,0
Finland,Finland,FIN,R02C07,True,False,0,0,False,0,0,False,0,0
France,France,-99,R02C06,True,True,11158,200.145874,True,11158,200.145874,True,11158,200.145874
France,France,-99,R02C07,True,True,46836,510.548023,True,46836,510.548023,True,46836,510.548023
France,France,-99,R03C05,True,True,643,10.356268,True,643,10.356268,True,643,10.356268
Gabon,Gabon,GAB,R03C07,True,True,874,9.816726,True,874,9.816726,True,874,9.816726
Gabon,Gabon,GAB,R04C07,True,True,2384,40.376239,True,2384,40.376239,True,2384,40.376239
Gambia,The Gambia,GMB,R03C06,True,True,822,13.636474,True,822,13.636474,True,822,13.636474
Georgia,Georgia,GEO,R02C08,True,True,3485,43.548279,True,3485,43.548279,True,3485,43.548279
Germany,Germany,DEU,R02C07,True,True,44431,526.943014,True,44431,526.943014,True,44431,526.943014
Ghana,Ghana,GHA,R03C06,True,True,12221,203.999731,True,12221,203.999731,True,12221,203.999731
